projectId,isOn,trustProductName,proectIssueCode,trustCompanyName,trustCompanyShortName,trustTremType,trustPropertyApplicationDesc,trustPropertyManagementDesc,issueCodeDate,publicityTime,registrationTime
4923,1,中海安泽1号财产权信托-第2期,ZXD36Z201710111010479,中海信托股份有限公司,中海信托,7.9,金融业,其他债权资产,2017-10-17,2017-11-10,2017-11-07
3690,1,云南信托·世联小贷五期资产财产权信托,ZXD32Y201709111034996,云南国际信托有限公司,云南信托,12,金融业,其他债权资产,2017-09-29,2017-11-10,2017-10-31
3437,1,华润信托·恒远睿信1期集合资金信托计划,ZXD38H201709010032478,华润深国投信托有限公司,华润信托,120,"金融业,其他","债券投资,股票投资,公募基金",2017-09-28,2017-11-10,2017-11-06
3060,1,中建投信托·安泉205号（隆基泰和紫金山）集合资金信托计划,ZXD38Z201709010028734,中建投信托有限责任公司,中建投信托,12,房地产业,信托贷款,2017-09-26,2017-11-10,2017-11-06
2461,1,中建投信托·建泉79号（江西和济）集合资金信托计划,ZXD38Z201709010022767,中建投信托有限责任公司,中建投信托,24,水利、环境和公共设施管理业,信托贷款,2017-09-22,2017-11-10,2017-10-30
1912,1,陆家嘴信托·万合11号财产权信托,ZXD31L201709111017321,陆家嘴国际信托有限公司,陆家嘴信托,31.5,金融业,实物及其他资产,2017-09-19,2017-11-10,2017-11-07
1471,1,万向信托-地产126号（重庆中昂锦绣项目贷款集合资金信托计划）,ZXD31W201709010012958,万向信托有限公司,万向信托,12,房地产业,信托贷款,2017-09-15,2017-11-10,2017-11-03
1418,1,中航信托·天启【2017】373号挪宝北戴河新能源集合资金绿色信托计划,ZXD37Z201709010012425,中航信托股份有限公司,中航信托,-1,电力、热力、燃气及水生产和供应业,信托贷款,2017-09-14,2017-11-10,2017-11-02
606,1,平安信托*宏泰一百八十四号集合资金信托计划,ZXD31P201709110004385,平安信托有限责任公司,平安信托,96,建筑业,信托贷款,2017-09-08,2017-11-13,2017-11-01
603,1,昆仑信托-长春奥体中心项目收益权转让及回购集合资金信托计划,ZXD31K201709010004355,昆仑信托有限责任公司,昆仑信托,24,水利、环境和公共设施管理业,特定资产及其收（受）益权附回购,2017-09-08,2017-11-10,2017-11-03
3423,1,国民信托龙头6号证券投资集合资金信托计划,ZXD34G201709010032337,国民信托有限公司,国民信托,12,金融业,股票投资,2017-09-28,2017-10-18,2017-10-12
3410,1,中航信托·天启【2016】200号智慧城市产业基金集合资金信托计划,ZXD37Z201709010032207,中航信托股份有限公司,中航信托,60,租赁和商务服务业,长期股权投资,2017-09-28,2017-10-24,2017-10-19
4419,1,兴业信托·信安11号债券投资集合资金信托计划,ZXD36X201710110005505,兴业国际信托有限公司,兴业信托,24,金融业,债券投资,2017-10-13,2017-10-31,2017-10-25
3301,1,长安宁-西安常宁新区发展基金集合资金信托计划,ZXD31C20170901003111X,长安国际信托股份有限公司,长安信托,24,水利、环境和公共设施管理业,其他债权资产,2017-09-27,2017-10-18,2017-10-12
2578,1,川信-锦汇通集合资金信托计划,ZXD36S201709110023927,四川信托有限公司,四川信托,24,租赁和商务服务业,特定资产及其收（受）益权附回购,2017-09-22,2017-10-27,2017-10-20
3199,1,中航信托·天启【2017】222号常德鑫泽信托贷款集合资金信托计划第7期,ZXD37Z201709010030119,中航信托股份有限公司,中航信托,24,房地产业,信托贷款,2017-09-27,2017-10-24,2017-10-19
2402,1,中航信托·天瑞融祺1号普惠金融结构化集合资金信托计划,ZXD37Z201709010022181,中航信托股份有限公司,中航信托,60,其他,信托贷款,2017-09-21,2017-10-27,2017-10-11
2810,1,万向信托--五谷丰登35号事务管理类集合资金信托计划,ZXD31W20170911002624X,万向信托有限公司,万向信托,12,房地产业,信托贷款,2017-09-25,2017-10-18,2017-10-12
2081,1,云信新安28号集合资金信托计划,ZXD32Y201709010018987,云南国际信托有限公司,云南信托,30,金融业,资产收益权（不附回购）,2017-09-20,2017-10-31,2017-10-12
1932,1,湘财盛2017-17号集合资金信托计划,ZXD32H201709010017524,湖南省信托有限责任公司,湖南信托,37,水利、环境和公共设施管理业,信托贷款,2017-09-19,2017-10-18,2017-10-13
1649,1,国元·安盈·201702020号集合资金信托计划,ZXD31A201709010014715,安徽国元信托有限责任公司,国元信托,24,水利、环境和公共设施管理业,信托贷款,2017-09-15,2017-10-31,2017-10-19
